date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-04-01 00:00:00,13.7,7.5,20.8,,,,8.3,,1024.3,
2022-04-02 00:00:00,17.4,10.4,24.9,,,,10,,1022,
2022-04-03 00:00:00,18.6,16.2,20.9,,,,11.2,,1017.1,
2022-04-04 00:00:00,20.4,17.8,23.3,,,,8.3,,1014.6,
2022-04-05 00:00:00,20.3,17.4,24.7,,,,7.9,,1017.4,
2022-04-06 00:00:00,20.5,15.5,27.3,,,,7.8,,1016.3,
2022-04-07 00:00:00,19.7,16.2,23.4,,,,7.9,,1014.7,
2022-04-08 00:00:00,20.6,17.9,24.4,,,,7.9,,1013.8,
2022-04-09 00:00:00,20.5,17.1,25.4,,,,7.8,,1014.5,
2022-04-10 00:00:00,21,15.9,27.1,,,,9.1,,1013.7,
2022-04-11 00:00:00,20.3,19,22,,,,10.2,,1009.8,
2022-04-12 00:00:00,20.7,18.3,24,,,,8.1,,1009.6,
2022-04-13 00:00:00,19.4,17.1,22.8,,,,7.8,,1012.9,
2022-04-14 00:00:00,16,12.5,19.5,,,,10.1,,1017.8,
2022-04-15 00:00:00,13.9,8.2,20,,,,7.8,,1019.6,
2022-04-16 00:00:00,14.9,9.7,21.7,,,,6.3,,1020.8,
2022-04-17 00:00:00,16.2,10.2,22.9,,,,6.6,,1021.2,
2022-04-18 00:00:00,17.6,12,24.7,,,,6.4,,1019.3,
2022-04-19 00:00:00,17.9,12.2,25,,,,5.8,,1018.4,
2022-04-20 00:00:00,18.4,11.9,26.1,,,,5.9,,1017.8,
2022-04-21 00:00:00,18.6,12.4,25.8,,,,5.8,,1013.5,
2022-04-22 00:00:00,19.8,15,26,,,,8.2,,1007.9,
2022-04-23 00:00:00,17.5,14.5,21.4,,,,12.9,,1007.7,
2022-04-24 00:00:00,17.4,9.7,27,,,,6.8,,1015.2,
2022-04-25 00:00:00,20.7,14.6,28.3,,,,10.3,,1014.1,
2022-04-26 00:00:00,22.7,19.2,28,,,,8.1,,1012,
2022-04-27 00:00:00,24.8,19.3,32.7,,,,11.3,,1010.1,
2022-04-28 00:00:00,21.4,17.7,25.4,,,,8.1,,1013.5,
2022-04-29 00:00:00,16,13.2,20.2,,,,9,,1022.3,
2022-04-30 00:00:00,15.2,10.3,19.4,,,,8.4,,1019.3,
2022-05-01 00:00:00,17.1,14.7,20.3,,,,7,,1014.2,
2022-05-02 00:00:00,14.7,14.2,16.2,,,,11.6,,1016.9,
2022-05-03 00:00:00,15.3,12.8,16.8,,,,13.4,,1013.5,
2022-05-04 00:00:00,16.6,14,18.7,,,,11.7,,1014,
2022-05-05 00:00:00,16.3,13.7,20.5,,,,8.6,,1020,
2022-05-06 00:00:00,14.4,9.2,21.2,,,,4.4,,1023.2,
2022-05-07 00:00:00,15.1,9,22.4,,,,5.2,,1023.6,
2022-05-08 00:00:00,15.4,9.3,23.5,,,,5.8,,1022.1,
2022-05-09 00:00:00,16.9,11.3,24.1,,,,5.3,,1020.9,
2022-05-10 00:00:00,16.9,13.6,20.2,,,,4.9,,1016.6,
2022-05-11 00:00:00,15.9,14.2,19.1,,,,8.8,,1015.6,
2022-05-12 00:00:00,14.2,11.6,18.5,,,,6.1,,1019,
2022-05-13 00:00:00,13.7,7.9,20.9,,,,5.8,,1019.2,
2022-05-14 00:00:00,15.5,10.8,20.5,,,,6.3,,1017.1,
2022-05-15 00:00:00,15.5,14,17.8,,,,7.3,,1014.7,
2022-05-16 00:00:00,11.7,9.9,13.9,,,,17.4,,1018.6,
2022-05-17 00:00:00,9.4,6.4,11.9,,,,27.4,,1014.6,
2022-05-18 00:00:00,10.1,6.1,13.6,,,,24.5,,1012.9,
2022-05-19 00:00:00,11.4,8.8,15.5,,,,10.4,,1019.5,
2022-05-20 00:00:00,10.4,6.1,17.4,,,,5,,1021.7,
2022-05-21 00:00:00,11.1,4.9,19.6,,,,3.8,,1023,
