Data Medicao,"PRECIPITACAO TOTAL, DIARIO(mm)","TEMPERATURA MEDIA COMPENSADA, DIARIA(°C)","UMIDADE RELATIVA DO AR, MEDIA DIARIA(%)"
2024-04-01,0,21.2,74.3
2024-04-02,13.4,18.4,98
2024-04-03,0,22.5,79
2024-04-04,0,22.1,87.8
2024-04-05,0,18.2,96
2024-04-06,2.2,16.8,76.5
2024-04-07,31.8,17.2,90.5
2024-04-08,0.8,21.2,87
2024-04-09,0,22.1,85.3
2024-04-10,0,19.3,90.8
2024-04-11,3.4,16.4,98
2024-04-12,7.1,17.6,91.5
2024-04-13,0.6,19.6,90.3
2024-04-14,13.8,20.8,83.8
2024-04-15,0,22,82.8
2024-04-16,3.9,21.2,93.5
2024-04-17,39.4,15.4,64
2024-04-18,0,15.3,70.5
2024-04-19,0,17.2,73.5
2024-04-20,0,17.6,71
2024-04-21,0,18.9,72
2024-04-22,0,19.5,74.5
2024-04-23,0,21.4,83.8
2024-04-24,22,18,100
2024-04-25,0.7,17.4,82.8
2024-04-26,3,22,79
2024-04-27,0,22,83
2024-04-28,40.6,15.8,95
2024-04-29,4.3,18.5,94.5
2024-04-30,132.8,18.1,96
2024-05-01,148.1,18,94.5
2024-05-02,266.2,17.8,97.5
2024-05-03,35.6,15.5,98.5
2024-05-04,27.5,17.3,94.5
2024-05-05,38.8,21.6,79
2024-05-06,5.4,23.2,62
2024-05-07,0,23.8,63
2024-05-08,0,22,78.8
2024-05-09,18.6,13.5,90.8
2024-05-10,5,14.7,98.3
2024-05-11,37.4,17.3,97.5
2024-05-12,139.2,15.8,98
2024-05-13,59.2,12.7,97.5
2024-05-14,11,7.3,81.8
2024-05-15,0,8.1,76.8
2024-05-16,0,11.6,96.8
2024-05-17,23.5,10.8,92.3
2024-05-18,2.9,8.5,91
2024-05-19,0.8,11.2,96.5
2024-05-20,1.4,11,86.8
2024-05-21,0,17.4,74.3
2024-05-22,0,21.4,68
2024-05-23,15.4,20,91.3
2024-05-24,40.2,12.7,90
2024-05-25,9.7,8,94
2024-05-26,0.6,8.4,90
2024-05-27,7.8,11.6,94.5
2024-05-28,16.5,8.2,92.8
2024-05-29,7.8,10.2,90.5
2024-05-30,0.5,9.9,85
2024-05-31,0,13.1,68.3
2024-06-01,0,14.4,63.3
2024-06-02,0,17.8,65.8
2024-06-03,0.1,10.2,97
2024-06-04,7.4,10.1,79.5
2024-06-05,0,16,90.5
2024-06-06,0,19.3,75.8
2024-06-07,0,19.1,69.5
2024-06-08,0,19,69
2024-06-09,0,20.3,74
2024-06-10,0,19.8,83
2024-06-11,0,20.8,70.8
2024-06-12,0,20.5,63.8
2024-06-13,0,20.3,61.3
2024-06-14,0,21.4,53.5
2024-06-15,0,20,85.8
2024-06-16,57.2,16.1,95.5
2024-06-17,107,17.5,91.5
2024-06-18,11.4,17.2,83
2024-06-19,13,16.5,92.9
2024-06-20,0.8,16.6,94.4
2024-06-21,44.6,16.5,85.8
2024-06-22,3.2,20.4,63.3
2024-06-23,0,20.3,81.5
2024-06-24,29,11.3,95.3
2024-06-25,5.5,7.3,90.5
2024-06-26,32.5,9,93.3
2024-06-27,0.4,10.1,66.8
2024-06-28,0,11.3,89
2024-06-29,0,4.6,60.3
2024-06-30,0,3.8,64.3
2024-07-01,0,9.9,47.8
2024-07-02,0,14.6,46.5
2024-07-03,3.5,14.5,96.3
2024-07-04,3.1,10.4,91.3
2024-07-05,0.6,7.3,97
2024-07-06,8.3,4.8,83.8
2024-07-07,0.2,6.4,100
2024-07-08,2.4,4.9,95.5
2024-07-09,1.1,2.8,100
2024-07-10,20.4,5.5,94.8
2024-07-11,1.3,6,96.5
2024-07-12,6.6,5.8,90.8
2024-07-13,0.3,7.6,100
2024-07-14,13.9,10,97.3
2024-07-15,4.6,10.6,88
2024-07-16,1.2,13.5,85
2024-07-17,0,13.6,85.5
2024-07-18,0,13.3,70.8
2024-07-19,0,16.8,68.5
2024-07-20,0,14.5,85.3
2024-07-21,0,16.2,66.8
2024-07-22,0,18,72.3
2024-07-23,0,20.2,55.8
2024-07-24,0,19,53
2024-07-25,0,17.8,69
2024-07-26,0,18.4,72
2024-07-27,0,19.2,67
2024-07-28,0,15.3,97
2024-07-29,14.1,8.8,100
2024-07-30,2,10.8,80.3
2024-07-31,0,14.3,71.3
2024-08-01,0,19.2,64.5
2024-08-02,0,19.1,61.8
2024-08-03,0,21.2,57.8
2024-08-04,1.6,16.8,96.5
2024-08-05,1.6,19.6,71.8
2024-08-06,16.6,19.4,80.8
2024-08-07,10.4,15.4,85.3
2024-08-08,11.7,11.2,95
2024-08-09,2.9,6.1,74.8
2024-08-10,1.1,6.6,87
2024-08-11,0,8,72.5
2024-08-12,0,4.9,64
2024-08-13,0,7.7,66
2024-08-14,0,13.5,55.5
2024-08-15,0,17.8,49.3
2024-08-16,0,21.2,55
2024-08-17,0,16,89.5
2024-08-18,0,23.4,48.8
2024-08-19,0,23.2,62.5
2024-08-20,4.4,15.4,94
2024-08-21,0.2,20.6,62.8
2024-08-22,0,16.4,93.5
2024-08-23,38.6,9,96
2024-08-24,16.2,6,87.3
2024-08-25,0,5.4,65.8
2024-08-26,0,6.6,72.5
2024-08-27,0,10.2,70.8
2024-08-28,0,12.9,77.5
2024-08-29,0,17.6,67
2024-08-30,0,16.9,82.3
2024-08-31,0,20.9,62
2024-09-01,1.1,14.6,71.3
2024-09-02,0,13.3,75.8
2024-09-03,0,17.4,66.5
2024-09-04,0,13.3,93
2024-09-05,30.2,9.3,83.3
2024-09-06,0.3,15,65.8
2024-09-07,8.7,18.7,80.5
2024-09-08,0,20.8,73.5
2024-09-09,0,23.2,55
2024-09-10,0,25.3,50
2024-09-11,0,23.2,64.5
2024-09-12,0.2,16.7,90.3
2024-09-13,14.8,18.2,91.5
2024-09-14,29.7,14.5,90
2024-09-15,1.6,11.5,80.8
2024-09-16,0,14.2,83.5
2024-09-17,0,15.9,64.8
2024-09-18,0,17.2,64.3
2024-09-19,0,18.5,70.5
2024-09-20,26.5,16,90.5
2024-09-21,5.1,17.7,88.3
2024-09-22,0,23.9,62.8
2024-09-23,0,22.8,75.3
2024-09-24,0,21.4,76.8
2024-09-25,0,20.7,88
2024-09-26,20.9,16.6,98
2024-09-27,15.1,14.5,76.3
2024-09-28,0,17.3,62.8
2024-09-29,0,20.6,53.3
2024-09-30,0,23.7,48.5
2024-10-01,0,20.3,85
2024-10-02,29.7,14.6,95.5
2024-10-03,5.4,10.4,69
2024-10-04,0,13.7,71.3
2024-10-05,0,17,65
2024-10-06,0,17.1,81.3
2024-10-07,0,16.2,82.8
2024-10-08,15.1,16.4,95
2024-10-09,6.9,14.2,91.8
2024-10-10,9.4,17.3,79
2024-10-11,5.7,17.8,91.8
2024-10-12,4.7,15.9,79.3
2024-10-13,0,18.3,67.8
2024-10-14,0,19.6,63.5
2024-10-15,0,17.1,87
2024-10-16,4.2,17.2,85
2024-10-17,0,17.6,79.5
2024-10-18,0,16.6,78.8
2024-10-19,0.5,16.4,80.3
2024-10-20,0,19.5,68.5
2024-10-21,0,23,63
2024-10-22,0,23.4,72.5
2024-10-23,0,24,80.5
2024-10-24,5.2,21.8,84
2024-10-25,36,18.2,76.3
2024-10-26,0,13.4,64.3
2024-10-27,0,15.1,53.5
2024-10-28,0,18.8,78.3
2024-10-29,0,19.8,78.5
2024-10-30,0,20.3,72
2024-10-31,0,22,65
2024-11-01,0,22.6,54.8
2024-11-02,0,21.8,77.5
2024-11-03,5.9,20.1,83
2024-11-04,0,22.6,70.3
2024-11-05,0,22.3,83.5
2024-11-06,19.8,21.8,86.3
2024-11-07,0,20.8,92.3
2024-11-08,18.3,15,94.8
2024-11-09,2.1,15.2,77.3
2024-11-10,0,20.3,71.3
2024-11-11,0,20.6,69.5
2024-11-12,1.8,13.4,62
2024-11-13,0,15.3,53.5
2024-11-14,0,17.9,57.8
2024-11-15,0,21.3,61.5
2024-11-16,0,23.2,68.8
2024-11-17,0,25.8,57.5
2024-11-18,0.7,21.8,80.8
2024-11-19,0.2,17.7,94
2024-11-20,51.9,15,90.3
2024-11-21,6.7,17.8,75
2024-11-22,0,17.9,85.8
2024-11-23,1.5,19.3,71.8
2024-11-24,0,21.9,55.5
2024-11-25,0,22.2,63.5
2024-11-26,0,23.9,70.6
2024-11-27,0,24.7,72.6
2024-11-28,5.3,21,91.1
2024-11-29,18.2,21.2,89
2024-11-30,0,19.5,86.4
2024-12-01,0.2,24.6,73.1
2024-12-02,33.4,18.9,93.7
2024-12-03,0.2,17.2,77.2
2024-12-04,0,17.2,80.7
2024-12-05,0,22.4,71.4
2024-12-06,0,22.3,80.5
2024-12-07,39.7,16.9,96
2024-12-08,1.5,11.6,92.2
2024-12-09,15.8,11.4,89.7
2024-12-10,0.8,19.1,84.7
2024-12-11,0.1,19,75.6
2024-12-12,0,21.4,67.8
2024-12-13,0,21.1,75
2024-12-14,25.2,20.2,86
2024-12-15,19.2,17.1,81.3
2024-12-16,6.4,16.1,95
2024-12-17,9.8,17.4,78
2024-12-18,0,20.2,73.3
2024-12-19,0,20.5,75
2024-12-20,7.3,21.6,76.3
2024-12-21,0,19.8,87.3
2024-12-22,22.2,14.2,94.8
2024-12-23,2.1,17.6,71
2024-12-24,0,20.7,74
2024-12-25,29.5,18.2,74
2024-12-26,1.5,18.5,62.5
2024-12-27,0,19.9,64
2024-12-28,0,20.2,71.5
2024-12-29,0,19.2,75.5
2024-12-30,0,20.7,74
2024-12-31,0,21.3,79
2025-01-01,10.4,22.1,71.8
2025-01-02,51,22.2,75.5
2025-01-03,0,22,61.3
2025-01-04,0,19.4,60.2
2025-01-05,0,18.6,72.5
2025-01-06,0,18.2,71.5
2025-01-07,0,19.3,73.5
